Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      9.48     0.00   809524     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.00      9.48     0.00   317955     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      9.48     0.00   200298     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      9.48     0.00   129213     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
  0.00      9.48     0.00   126026     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      9.48     0.00   102291     0.00     0.00  operator new(unsigned long, void*)
  0.00      9.48     0.00   100481     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      9.48     0.00   100403     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      9.48     0.00   100403     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      9.48     0.00   100403     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      9.48     0.00   100149     0.00     0.00  chooseInRange(int, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.48     0.00   100149     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      9.48     0.00   100149     0.00     0.00  std::uniform_int_distribution<int>::param_type::param_type(int, int)
  0.00      9.48     0.00   100149     0.00     0.00  std::uniform_int_distribution<int>::uniform_int_distribution(int, int)
  0.00      9.48     0.00   100149     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.48     0.00   100149     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&)
  0.00      9.48     0.00   100046     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      9.48     0.00   100007     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      9.48     0.00   100007     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      9.48     0.00   100007     0.00     0.00  std::allocator<int>::allocator()
