Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.10     10.21     0.01  1000000     0.00     0.01  reproduction(std::vector<double, std::allocator<double> > (&) [1][4], int (&) [1][2], double (&) [1024][2], int, int, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.10     10.22     0.01   239224     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
  0.10     10.23     0.01   118620     0.00     0.00  addInd(std::vector<double, std::allocator<double> > (&) [1][4], int, int, double (&) [1024][2], std::vector<double, std::allocator<double> > (&) [1][3])
  0.00     10.23     0.00  7178076     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00     10.23     0.00  7177768     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     10.23     0.00  7176744     0.00     0.00  std::uniform_real_distribution<double>::param_type::param_type(double, double)
  0.00     10.23     0.00  7176744     0.00     0.00  std::uniform_real_distribution<double>::uniform_real_distribution(double, double)
  0.00     10.23     0.00  7176744     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     10.23     0.00  3312358     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00     10.23     0.00  3010264     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00     10.23     0.00  2002096     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00     10.23     0.00  1891392     0.00     0.00  double* std::__niter_base<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00     10.23     0.00  1001048     0.00     0.00  chooseInRange(int, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     10.23     0.00  1001048     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00     10.23     0.00  1001048     0.00     0.00  std::uniform_int_distribution<int>::param_type::param_type(int, int)
  0.00     10.23     0.00  1001048     0.00     0.00  std::uniform_int_distribution<int>::uniform_int_distribution(int, int)
  0.00     10.23     0.00  1001048     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     10.23     0.00  1000439     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     10.23     0.00  1000401     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     10.23     0.00  1000401     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     10.23     0.00  1000401     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00     10.23     0.00  1000024     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00     10.23     0.00  1000005     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00     10.23     0.00  1000005     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     10.23     0.00  1000005     0.00     0.00  std::allocator<int>::allocator()
  0.00     10.23     0.00  1000005     0.00     0.00  std::allocator<int>::~allocator()
  0.00     10.23     0.00  1000005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00     10.23     0.00  1000005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00     10.23     0.00  1000005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00     10.23     0.00  1000005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00     10.23     0.00  1000005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00     10.23     0.00  1000005     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00     10.23     0.00  1000004     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00     10.23     0.00  1000000     0.00     0.00  immigration(std::vector<double, std::allocator<double> > (&) [1][4], double, int, int, int&, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     10.23     0.00  1000000     0.00     0.00  shuffle(int*, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     10.23     0.00  1000000     0.00     0.00  dispersal(std::vector<double, std::allocator<double> > (&) [1][4], double (&) [1][1], double, int, int, int&, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00     10.23     0.00  1000000     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00     10.23     0.00   947184     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00     10.23     0.00   947108     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00     10.23     0.00   946478     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00     10.23     0.00   945696     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00     10.23     0.00   717714     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00     10.23     0.00   706921     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
  0.00     10.23     0.00   487921     0.00     0.00  operator new(unsigned long, void*)
  0.00     10.23     0.00   476498     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00     10.23     0.00   473554     0.00     0.00  void __gnu_cxx::new_allocator<double>::destroy<double>(double*)
  0.00     10.23     0.00   473554     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00     10.23     0.00   473554     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator<double*>(__gnu_cxx::__normal_iterator<double*, __gnu_cxx::__enable_if<std::__are_same<double*, double*>::__value, std::vector<double, std::allocator<double> > >::__type> const&)
  0.00     10.23     0.00   473554     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&)
  0.00     10.23     0.00   473554     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00     10.23     0.00   473554     0.00     0.00  std::vector<double, std::allocator<double> >::cbegin() const
  0.00     10.23     0.00   473554     0.00     0.00  void std::allocator_traits<std::allocator<double> >::destroy<double>(std::allocator<double>&, double*)
  0.00     10.23     0.00   473554     0.00     0.00  std::vector<double, std::allocator<double> >::erase(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00     10.23     0.00   473554     0.00     0.00  std::vector<double, std::allocator<double> >::_M_erase(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00     10.23     0.00   472848     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00     10.23     0.00   472848     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double*)
